id;start_date;end_date;language
1;2019-12-04T06:31:19;2019-12-03T23:39:36;FRENCH
2;2019-12-03T17:07:35;2019-12-04T05:53:16;ENGLISH
3;2019-12-03T16:34:02;2019-12-03T18:30:21;FRENCH
4;2019-12-04T04:19:51;2019-12-03T20:41:30;ENGLISH
5;2019-12-04T07:29:27;2019-12-04T08:04:24;FRENCH
6;2019-12-03T13:44:44;2019-12-03T10:46:06;SPANISH
7;2019-12-03T22:54:48;2019-12-04T01:57:55;ENGLISH
8;2019-12-04T00:42:45;2019-12-04T09:07:23;FRENCH
9;2019-12-04T01:17:09;2019-12-04T09:54:33;ENGLISH
10;2019-12-03T18:28:05;2019-12-03T17:51:41;SPANISH
